2.00,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1.00,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1.00,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
1.00,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
1.00,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1.00,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1.00,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
1.00,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
1.00,""" &amp; you might not get ya bitch back &amp; thats that """
1.00,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
1.00,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
1.00,""" Murda Gang bitch its Gang Land """
1.00,""" So hoes that smoke are losers ? "" yea ... go on IG"
1.00,""" bad bitches is the only thing that i like """
1.00,""" bitch get up off me """
1.00,""" bitch nigga miss me with it """
1.00,""" bitch plz whatever """
1.00,""" bitch who do you love """
1.00,""" bitches get cut off everyday B """
1.00,""" black bottle &amp; a bad bitch """
1.00,""" broke bitch cant tell me nothing """
1.00,""" cancel that bitch like Nino """
1.00,""" cant you see these hoes wont change """
1.00,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
1.00,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
1.00,""" her pussy lips like Heaven doors "" &#128524;"
1.00,""" hoe what its hitting for """
1.00,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
1.00,""" i need a trippy bitch who fuck on Hennessy """
1.00,""" i spend my money how i want bitch its my business """
1.00,""" i txt my old bitch my new bitch pussy wetter """
